BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experimentCamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024 13:28:51:278 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,memory-lifetime,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,mean-incum,mean-oat,mean-almond,mean-soy
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,16,141,69,526,264,19.3656588161696,563.176863158619,38099304.4300042,505.519475774524,511.255109309155,538.607114029776,451.230840886544
2,8,0.6,8,0,0,8,-1,1,0.9,5,1,1,1,1,1,1,2,925,32,22,21,42.0002724664729,1265.22672887304,6955067.99999998,1863.89309344502,158.885491456906,158.807777109927,158.71753798815
8,8,0.6,8,0,0,10,-0.6,1,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
11,8,0.6,8,0,0.4,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,2,914,29,26,31,41.8822693389677,1261.44518388452,6957744.69999998,1855.16297272983,161.785172065839,162.925611226587,163.106843977748
12,8,0.6,8,0,0.4,8,-0.6,1,0.9,5,1,1,1,1,1,1,1,976,5,9,10,43.245366575131,1307.22346335036,4611163.1,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,17,157,123,83,637,19.8215906035811,502.712022549289,40052343.5000028,493.821951085061,498.055550580463,388.637553015022,572.524015319454
9,8,0.6,8,0,0.4,8,-1,0.8,0.9,5,1,1,1,1,1,1,3,879,40,31,50,40.468377739878,1214.54046146783,9328685.89999992,1751.30884033152,202.941690142545,206.508982082074,207.238487443858
10,8,0.6,8,0,0.4,8,-1,1,0.9,5,1,1,1,1,1,1,2,934,28,13,25,42.3004820530469,1274.43341330252,6946913.09999998,1885.85925385309,149.35607991296,147.679932422352,150.694133811598
5,8,0.6,8,0,0,10,-1,0.8,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,18,88,77,617,218,18.1041465274832,534.445714821472,41954417.7100029,470.13219841009,477.718662627815,528.840627782251,425.382721179843
2,8,0.6,8,0,0,8,-1,1,0.9,5,1,1,1,1,1,1,3,897,34,26,43,40.7112672925283,1222.40351389616,9318261.89999992,1769.12470009617,196.594004365542,198.499859012508,198.975336525784
3,8,0.6,8,0,0,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,3,886,43,28,43,40.5864839861471,1218.48461717408,9316569.89999991,1760.05399649566,202.375370784217,202.702019868688,200.158712851432
9,8,0.6,8,0,0.4,8,-1,0.8,0.9,5,1,1,1,1,1,1,4,858,56,40,46,39.390060995348,1179.04533666715,11691665.91,1680.77182757684,228.839563164118,227.521772330727,225.846846928316
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,19,90,138,109,663,19.7865488420704,496.676693529177,43900594.5600018,490.110577192928,494.787858180667,378.44161708833,582.836797538075
8,8,0.6,8,0,0,10,-0.6,1,0.9,5,1,1,1,1,1,1,1,977,7,11,5,43.207776007608,1306.06509158602,4611883.3,2000,100,100,100
12,8,0.6,8,0,0.4,8,-0.6,1,0.9,5,1,1,1,1,1,1,2,937,30,18,15,42.3256414408926,1275.99014441418,6944298.79999998,1888.22589477969,149.751316596935,148.018872548654,147.139616074717
5,8,0.6,8,0,0,10,-1,0.8,0.9,5,1,1,1,1,1,1,1,976,4,10,10,43.1886301936537,1305.39949592236,4612243.4,2000,100,100,100
11,8,0.6,8,0,0.4,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,3,858,57,37,48,39.8960334222763,1194.41952770517,9337366.1499999,1707.56889247571,224.739653563115,223.43906192444,223.87384203674
10,8,0.6,8,0,0.4,8,-1,1,0.9,5,1,1,1,1,1,1,3,882,41,36,41,40.764181632555,1224.31215026812,9308510.84999992,1773.34052623839,195.35143169827,196.768377177498,196.137414885838
2,8,0.6,8,0,0,8,-1,1,0.9,5,1,1,1,1,1,1,4,872,63,34,31,39.3755476255626,1179.27703324128,11680319.5400001,1680.78604835966,227.274289197095,228.343773187163,225.653529256081
6,8,0.6,8,0,0,10,-1,1,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
9,8,0.6,8,0,0.4,8,-1,0.8,0.9,5,1,1,1,1,1,1,5,825,65,31,79,37.3212347613215,1109.47530779262,14064418.4500002,1537.74644747071,277.874698103918,275.623439128809,281.507955296559
8,8,0.6,8,0,0,10,-0.6,1,0.9,5,1,1,1,1,1,1,2,926,29,18,27,41.9426792780269,1262.50694999184,6953721.19999998,1858.79029414514,161.464763876546,159.68035853381,161.9024834445
3,8,0.6,8,0,0,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,4,858,46,32,64,39.4614392370998,1181.01822597024,11677858.48,1685.94220087761,224.979505836548,224.442502877947,225.9243704079
7,8,0.6,8,0,0,10,-0.6,0.8,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,20,73,128,606,193,18.6087775454452,548.679057305404,45825913.8199986,493.021658102432,486.382137458962,527.062889620771,418.852574817837
11,8,0.6,8,0,0.4,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,4,825,61,34,80,38.6352421782193,1153.48185403883,11709486.4100001,1626.54917457972,246.934813282102,247.684854942744,250.95141719543
12,8,0.6,8,0,0.4,8,-0.6,1,0.9,5,1,1,1,1,1,1,3,901,38,21,40,40.9488961104972,1229.92512540818,9302877.79999993,1786.45545357413,189.186249106855,190.406147867639,192.53114945138
10,8,0.6,8,0,0.4,8,-1,1,0.9,5,1,1,1,1,1,1,4,860,51,42,47,39.4985018511454,1181.31900494663,11669838.24,1687.59814058785,225.477530852269,222.338661049858,225.913057510019
5,8,0.6,8,0,0,10,-1,0.8,0.9,5,1,1,1,1,1,1,2,930,24,28,18,42.1309149265686,1269.25733585878,6949416.89999998,1873.48321866253,155.792745559853,153.935380229188,153.962155548433
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,21,76,160,69,695,19.8519227918166,495.572485180234,47759677.8400013,496.351739058373,488.235186746647,365.571023241271,583.606070953708
2,8,0.6,8,0,0,8,-1,1,0.9,5,1,1,1,1,1,1,5,835,61,38,66,37.0759329025073,1102.49002737173,14053573.0500002,1522.2829165135,279.006481194076,282.682796194612,289.28131609781
6,8,0.6,8,0,0,10,-1,1,0.9,5,1,1,1,1,1,1,1,975,10,8,7,43.2249820889728,1306.52956512302,4611523.2,2000,100,100,100
8,8,0.6,8,0,0,10,-0.6,1,0.9,5,1,1,1,1,1,1,3,891,43,26,40,40.8545805661605,1227.09134565288,9313253.69999992,1779.94618818465,193.002196546149,193.426010969464,193.158104299738
7,8,0.6,8,0,0,10,-0.6,0.8,0.9,5,1,1,1,1,1,1,1,966,8,18,8,42.9900098766278,1298.82937804381,4616204.5,2000,100,100,100
9,8,0.6,8,0,0.4,8,-1,0.8,0.9,5,1,1,1,1,1,1,6,790,86,57,67,34.8686990094651,1031.44636215905,16429823.2800001,1378.4747317148,330.171192608897,329.268905062291,327.49000061401
3,8,0.6,8,0,0,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,5,828,65,34,73,36.924505405206,1097.72349981211,14053590.5700002,1511.07648101487,289.837233387836,287.883257339296,286.935118257996
10,8,0.6,8,0,0.4,8,-1,1,0.9,5,1,1,1,1,1,1,5,835,56,35,74,37.3991556323304,1111.04317005499,14041872.7000002,1542.31538236018,277.701688517451,272.131672409911,279.885716712456
