BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experimentCampGrid3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024 14:46:23:017 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,memory-lifetime,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,mean-incum,mean-oat,mean-almond,mean-soy
5,8,5,0,8,0,0,2,-1,0.6,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,4,913,26,31,30,41.5180778348991,1250.64427281312,11598524.71,1836.28582531546,162.529194224018,166.056052632307,165.907087828211
8,8,5,0,8,0,0,2,-0.6,1,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,6,822,70,51,57,37.567089663299,1120.02995956322,16269718.49,1567.3927863787,257.821074651492,257.449342039363,259.250266930441
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,4,913,36,25,26,41.7953487078764,1259.02863090551,11590750.59,1855.30795643764,157.525383233795,157.215261292405,157.367239036162
5,8,5,0,8,0,0,2,-1,0.6,0.9,1,1,1,1,1,1,1,971,11,11,7,43.083913364401,1301.91306688346,4614404,2000,100,100,100
3,8,5,0,8,0,0,0,-0.6,0.6,0.9,1,1,1,1,1,1,4,918,26,22,34,41.7147496730418,1255.75968409416,11587691.14,1848.99286220998,159.206697300291,158.719507569778,161.789972919952
6,8,5,0,8,0,0,2,-1,1,0.9,1,1,1,1,1,1,1,975,8,9,8,43.230236961302,1306.64504097305,4611523.2,2000,100,100,100
7,8,5,0,8,0,0,2,-0.6,0.6,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
8,8,5,0,8,0,0,2,-0.6,1,0.9,1,1,1,1,1,1,1,964,8,15,13,43.0743979892596,1301.6407003617,4614404,2000,100,100,100
